feature,validation_AP_drop_mean,std
age,0.06467670595320564,0.030693005481032622
cigsPerDay,0.03973766136342098,0.009724192842841031
glucose,0.03330523336501229,0.005063584616435871
diaBP,0.02773686224794345,0.006514484612669075
male,0.01854493361396651,0.0029533733848650717
sysBP,0.010115082262700447,0.02929457141668059
totChol,0.009117163179709809,0.002692953782693628
diabetes,0.006247624030798049,0.0003779364257422717
education,0.002575649934467417,0.003119505319559374
prevalentStroke,0.000917277873816047,0.001757240347308958
currentSmoker,-0.0004220250016962357,0.0007088142568611092
BPMeds,-0.0021271985874877775,0.005083728842888614
heartRate,-0.002610506709255789,0.003015808914710969
BMI,-0.005392138573135063,0.004455637780354491
prevalentHyp,-0.00551349422062517,0.01265238949369076
