X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,XVAR,YVAR,ZVAR,XMFCC0,XMFCC1,XMFCC2,XMFCC3,XMFCC4,XMFCC5,XMFCC6,XMFCC7,XMFCC8,XMFCC9,XMFCC10,XMFCC11,XMFCC12,YMFCC0,YMFCC1,YMFCC2,YMFCC3,YMFCC4,YMFCC5,YMFCC6,YMFCC7,YMFCC8,YMFCC9,YMFCC10,YMFCC11,YMFCC12,ZMFCC0,ZMFCC1,ZMFCC2,ZMFCC3,ZMFCC4,ZMFCC5,ZMFCC6,ZMFCC7,ZMFCC8,ZMFCC9,ZMFCC10,ZMFCC11,ZMFCC12,XYCOS,XZCOS,YZCOS,XYCOR,XZCOR,YZCOR,RESULTANT,activity,subject_id,window_id
0.0,0.0,0.0,0.045,0.09,0.19,0.215,0.21,0.135,0.115,0.26,0.435,0.235,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.135,0.42,0.335,0.05,0.02,0.02,0.02,0.0,0.0,0.0,12.0689,-1.1357,-0.0228586,52.7027,46.3415,44.8837,3.33371,1.87644,2.00437,0.287813,0.180374,0.206957,0.536482,0.424704,0.454925,0.448836,0.634409,0.63339,0.631693,0.629319,0.626271,0.622553,0.618168,0.613121,0.607417,0.601063,0.594066,0.586432,0.393334,0.555961,0.555067,0.55358,0.5515,0.548829,0.54557,0.541727,0.537304,0.532306,0.526738,0.520606,0.513916,0.381289,0.538935,0.538069,0.536627,0.53461,0.532021,0.528862,0.525137,0.52085,0.516005,0.510607,0.504662,0.498178,-0.395887,-0.105039,-0.263814,-0.0359123,-0.305539,-0.292265,12.7783,A,1600,1600:0
0.0,0.0,0.0,0.0,0.03,0.25,0.305,0.225,0.125,0.065,0.35,0.36,0.26,0.025,0.0,0.005,0.0,0.0,0.0,0.0,0.285,0.44,0.24,0.03,0.005,0.0,0.0,0.0,0.0,0.0,12.1521,-1.75208,-1.32761,39.375,40.0,39.1837,2.50595,2.35428,1.67891,0.220688,0.216164,0.152043,0.469775,0.464935,0.389927,0.460722,0.651211,0.650165,0.648422,0.645986,0.642857,0.63904,0.634539,0.629358,0.623504,0.616982,0.609799,0.601963,0.424565,0.600104,0.59914,0.597534,0.595289,0.592406,0.588888,0.58474,0.579966,0.574571,0.568561,0.561942,0.554721,0.375576,0.53086,0.530007,0.528587,0.5266,0.52405,0.520939,0.517269,0.513046,0.508274,0.502957,0.497101,0.490714,-0.517585,-0.493655,0.208926,-0.166636,0.0717743,-0.0708601,12.8712,A,1600,1600:1
0.0,0.0,0.0,0.0,0.015,0.28,0.3,0.21,0.14,0.055,0.325,0.445,0.215,0.01,0.005,0.0,0.0,0.0,0.0,0.0,0.17,0.535,0.275,0.02,0.0,0.0,0.0,0.0,0.0,0.0,12.1529,-1.53875,-0.972243,43.4091,37.8846,39.7917,2.45466,1.76268,1.37839,0.210443,0.1561,0.124489,0.458741,0.395095,0.35283,0.447815,0.632966,0.63195,0.630256,0.627888,0.624847,0.621137,0.616762,0.611726,0.606036,0.599696,0.592714,0.585098,0.371445,0.525021,0.524177,0.522773,0.520808,0.518286,0.515208,0.51158,0.507403,0.502683,0.497424,0.491633,0.485316,0.330943,0.467774,0.467023,0.465771,0.464021,0.461773,0.459032,0.455798,0.452077,0.447872,0.443187,0.438027,0.432398,-0.573148,-0.468498,0.00170378,-0.0908783,0.00505285,-0.382557,12.5949,A,1600,1600:2
0.0,0.0,0.0,0.005,0.07,0.245,0.275,0.22,0.13,0.055,0.28,0.47,0.215,0.03,0.0,0.005,0.0,0.0,0.0,0.0,0.15,0.435,0.38,0.035,0.0,0.0,0.0,0.0,0.0,0.0,11.9523,-1.31171,-0.505159,45.9524,45.0,38.9796,2.6766,1.68549,1.40901,0.232177,0.158364,0.123818,0.481847,0.397949,0.351878,0.445134,0.629177,0.628166,0.626483,0.624128,0.621106,0.617418,0.613069,0.608064,0.602407,0.596106,0.589166,0.581595,0.376999,0.532871,0.532015,0.530589,0.528596,0.526036,0.522912,0.519229,0.51499,0.510199,0.504862,0.498985,0.492573,0.338095,0.477883,0.477115,0.475837,0.474048,0.471753,0.468952,0.465649,0.461847,0.45755,0.452764,0.447493,0.441743,-0.514097,-0.232246,-0.0802408,-0.117089,0.137656,-0.265747,12.3521,A,1600,1600:3
0.0,0.0,0.0,0.0,0.015,0.26,0.325,0.23,0.11,0.06,0.175,0.54,0.25,0.025,0.01,0.0,0.0,0.0,0.0,0.0,0.075,0.405,0.42,0.055,0.045,0.0,0.0,0.0,0.0,0.0,12.0245,-1.03888,0.240671,40.6522,40.8511,45.0,2.36682,1.54154,1.55086,0.203347,0.144357,0.146905,0.45094,0.379944,0.383281,0.432201,0.610898,0.609916,0.608282,0.605996,0.603061,0.599481,0.595258,0.590398,0.584906,0.578787,0.572049,0.564698,0.357504,0.505316,0.504504,0.503152,0.501261,0.498833,0.495872,0.492379,0.488359,0.483816,0.478755,0.473181,0.467101,0.327375,0.46273,0.461987,0.460749,0.459017,0.456794,0.454082,0.450884,0.447202,0.443042,0.438408,0.433304,0.427736,-0.461254,0.0844702,-0.418888,-0.0972645,-0.118795,-0.414198,12.4168,A,1600,1600:4
0.0,0.0,0.0,0.02,0.11,0.295,0.22,0.155,0.145,0.055,0.27,0.51,0.19,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.405,0.305,0.085,0.09,0.03,0.015,0.0,0.0,0.0,11.3286,-1.47259,1.04583,47.75,39.375,44.3182,3.01107,1.76637,2.4025,0.256022,0.172804,0.221377,0.505986,0.415698,0.470507,0.449067,0.634736,0.633717,0.632018,0.629643,0.626594,0.622873,0.618486,0.613437,0.60773,0.601373,0.594372,0.586734,0.405378,0.572984,0.572064,0.570531,0.568387,0.565634,0.562276,0.558315,0.553757,0.548606,0.542867,0.536547,0.529652,0.388075,0.548528,0.547646,0.546179,0.544126,0.541491,0.538276,0.534485,0.530121,0.525189,0.519696,0.513645,0.507045,-0.515503,0.254423,-0.287578,-0.0915976,-0.164082,-0.152699,12.1479,A,1600,1600:5
0.0,0.0,0.0,0.01,0.065,0.26,0.285,0.205,0.115,0.06,0.265,0.49,0.215,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.115,0.56,0.32,0.005,0.0,0.0,0.0,0.0,0.0,0.0,11.6582,-1.41822,-0.68883,41.7391,45.1163,43.1111,2.75454,1.74577,1.18061,0.237,0.165762,0.103426,0.486826,0.407138,0.321599,0.455123,0.643297,0.642264,0.640542,0.638135,0.635045,0.631274,0.626828,0.62171,0.615927,0.609484,0.602388,0.594647,0.392304,0.554505,0.553614,0.552131,0.550056,0.547392,0.544142,0.540309,0.535898,0.530912,0.525359,0.519243,0.51257,0.314561,0.444618,0.443904,0.442714,0.441051,0.438915,0.436309,0.433235,0.429698,0.425701,0.421248,0.416344,0.410994,-0.524796,-0.435362,0.113136,-0.115562,-0.103565,-0.138754,12.0715,A,1600,1600:6
0.0,0.0,0.0,0.015,0.16,0.24,0.21,0.185,0.145,0.045,0.21,0.605,0.175,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.485,0.325,0.035,0.04,0.015,0.01,0.005,0.0,0.0,11.2803,-1.2452,0.16778,56.3636,41.4894,45.814,3.11771,1.25672,1.86393,0.261381,0.11768,0.195815,0.511254,0.343046,0.442509,0.454994,0.643114,0.642081,0.64036,0.637954,0.634864,0.631095,0.62665,0.621533,0.615752,0.60931,0.602217,0.594478,0.338864,0.47897,0.4782,0.476919,0.475127,0.472826,0.470018,0.466708,0.462897,0.458591,0.453794,0.448511,0.442748,0.364464,0.515154,0.514326,0.512948,0.51102,0.508545,0.505526,0.501965,0.497867,0.493236,0.488076,0.482394,0.476195,-0.581123,-0.0515529,-0.20635,-0.047448,-0.350743,-0.212857,11.852,A,1600,1600:7
0.0,0.0,0.0,0.0,0.055,0.265,0.245,0.205,0.15,0.08,0.265,0.38,0.29,0.055,0.01,0.0,0.0,0.0,0.0,0.0,0.145,0.52,0.315,0.015,0.0,0.005,0.0,0.0,0.0,0.0,12.2822,-1.20303,-0.752252,46.0976,44.0909,41.7391,2.85344,2.09776,1.38565,0.240851,0.199936,0.128251,0.490766,0.447142,0.358121,0.453859,0.64151,0.640479,0.638763,0.636362,0.633281,0.629521,0.625086,0.619983,0.614216,0.60779,0.600715,0.592995,0.421127,0.595244,0.594288,0.592695,0.590468,0.587608,0.58412,0.580005,0.57527,0.569918,0.563957,0.557391,0.550229,0.344015,0.48625,0.485469,0.484168,0.482349,0.480013,0.477163,0.473802,0.469933,0.465562,0.460692,0.455328,0.449477,-0.386796,-0.360474,-0.0120339,-0.038745,0.0352458,-0.190623,12.7896,A,1600,1600:8
0.0,0.0,0.0,0.005,0.055,0.28,0.25,0.175,0.16,0.075,0.27,0.495,0.225,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.63,0.255,0.015,0.005,0.0,0.0,0.0,0.0,0.0,12.0251,-1.51075,-0.706846,48.0,42.3913,40.2083,2.83486,1.67601,1.12056,0.238201,0.149242,0.105475,0.488058,0.386318,0.324769,0.446005,0.630408,0.629395,0.627709,0.62535,0.622321,0.618626,0.614269,0.609254,0.603586,0.597272,0.590319,0.582733,0.361894,0.511522,0.5107,0.509332,0.507418,0.50496,0.501962,0.498426,0.494357,0.489758,0.484635,0.478993,0.472838,0.329885,0.466278,0.465528,0.464281,0.462536,0.460296,0.457563,0.45434,0.450631,0.446439,0.441769,0.436626,0.431015,-0.581727,-0.430234,0.0475524,-0.0968937,-0.0733582,-0.274483,12.3999,A,1600,1600:9
