window_id,class,feature,contribution_raw_margin,base_raw_margin
1603:0,A,X0,0.001262093661352992,0.04591704159975052
1603:0,A,X1,-0.0004912784788757563,0.04591704159975052
1603:0,A,X2,0.0,0.04591704159975052
1603:0,A,X3,0.06514797359704971,0.04591704159975052
1603:0,A,X4,0.03020108863711357,0.04591704159975052
1603:0,A,X5,0.13396820425987244,0.04591704159975052
1603:0,A,X6,0.4309875965118408,0.04591704159975052
1603:0,A,X7,1.420109748840332,0.04591704159975052
1603:0,A,X8,0.30589720606803894,0.04591704159975052
1603:0,A,X9,-0.1282292753458023,0.04591704159975052
1603:0,A,Y0,0.0017473013140261173,0.04591704159975052
1603:0,A,Y1,0.02093994803726673,0.04591704159975052
1603:0,A,Y2,0.02032955177128315,0.04591704159975052
1603:0,A,Y3,-0.027916841208934784,0.04591704159975052
1603:0,A,Y4,-0.047062914818525314,0.04591704159975052
1603:0,A,Y5,0.0024808410089462996,0.04591704159975052
1603:0,A,Y6,0.0,0.04591704159975052
1603:0,A,Y7,0.0006054596742615104,0.04591704159975052
1603:0,A,Y8,0.0,0.04591704159975052
1603:0,A,Y9,0.0005869297892786562,0.04591704159975052
1603:0,A,Z0,-0.23094536364078522,0.04591704159975052
1603:0,A,Z1,-0.06542367488145828,0.04591704159975052
1603:0,A,Z2,-0.0190993994474411,0.04591704159975052
1603:0,A,Z3,-0.015970895066857338,0.04591704159975052
1603:0,A,Z4,0.006276816129684448,0.04591704159975052
1603:0,A,Z5,-0.004563944414258003,0.04591704159975052
1603:0,A,Z6,-0.0033712233416736126,0.04591704159975052
1603:0,A,Z7,0.0,0.04591704159975052
1603:0,A,Z8,0.0,0.04591704159975052
1603:0,A,Z9,0.0,0.04591704159975052
1603:0,A,XAVG,0.013874509371817112,0.04591704159975052
1603:0,A,YAVG,-0.05653037503361702,0.04591704159975052
1603:0,A,ZAVG,0.0021420724224299192,0.04591704159975052
1603:0,A,XPEAK,0.025841517373919487,0.04591704159975052
1603:0,A,YPEAK,0.08164811879396439,0.04591704159975052
1603:0,A,ZPEAK,-0.3323500156402588,0.04591704159975052
1603:0,A,XABSOLDEV,-0.008798019029200077,0.04591704159975052
1603:0,A,YABSOLDEV,0.03349454700946808,0.04591704159975052
1603:0,A,ZABSOLDEV,-0.00329737551510334,0.04591704159975052
1603:0,A,XSTANDDEV,-0.03319539129734039,0.04591704159975052
1603:0,A,YSTANDDEV,-0.001535453600808978,0.04591704159975052
1603:0,A,ZSTANDDEV,-0.07505911588668823,0.04591704159975052
1603:0,A,XVAR,-0.0016392155084758997,0.04591704159975052
1603:0,A,YVAR,9.697132190922275e-05,0.04591704159975052
1603:0,A,ZVAR,-0.005429324693977833,0.04591704159975052
1603:0,A,XMFCC0,0.6125223636627197,0.04591704159975052
1603:0,A,XMFCC1,0.10354553908109665,0.04591704159975052
1603:0,A,XMFCC2,0.04202296584844589,0.04591704159975052
1603:0,A,XMFCC3,0.0,0.04591704159975052
1603:0,A,XMFCC4,0.0,0.04591704159975052
1603:0,A,XMFCC5,0.0,0.04591704159975052
1603:0,A,XMFCC6,0.0,0.04591704159975052
1603:0,A,XMFCC7,0.0,0.04591704159975052
1603:0,A,XMFCC8,0.0,0.04591704159975052
1603:0,A,XMFCC9,0.0,0.04591704159975052
1603:0,A,XMFCC10,0.0,0.04591704159975052
1603:0,A,XMFCC11,0.0,0.04591704159975052
1603:0,A,XMFCC12,0.0,0.04591704159975052
1603:0,A,YMFCC0,-0.0037787307519465685,0.04591704159975052
1603:0,A,YMFCC1,-0.0006828697514720261,0.04591704159975052
1603:0,A,YMFCC2,0.0,0.04591704159975052
1603:0,A,YMFCC3,0.0,0.04591704159975052
1603:0,A,YMFCC4,0.0,0.04591704159975052
1603:0,A,YMFCC5,0.0,0.04591704159975052
1603:0,A,YMFCC6,0.0,0.04591704159975052
1603:0,A,YMFCC7,0.0,0.04591704159975052
1603:0,A,YMFCC8,0.0,0.04591704159975052
1603:0,A,YMFCC9,0.0,0.04591704159975052
1603:0,A,YMFCC10,0.0,0.04591704159975052
1603:0,A,YMFCC11,0.0,0.04591704159975052
1603:0,A,YMFCC12,0.0,0.04591704159975052
1603:0,A,ZMFCC0,0.08371800929307938,0.04591704159975052
1603:0,A,ZMFCC1,0.04841635748744011,0.04591704159975052
1603:0,A,ZMFCC2,0.0158071331679821,0.04591704159975052
1603:0,A,ZMFCC3,0.005835183896124363,0.04591704159975052
1603:0,A,ZMFCC4,0.0,0.04591704159975052
1603:0,A,ZMFCC5,0.0,0.04591704159975052
1603:0,A,ZMFCC6,0.0,0.04591704159975052
1603:0,A,ZMFCC7,0.0,0.04591704159975052
1603:0,A,ZMFCC8,0.0,0.04591704159975052
1603:0,A,ZMFCC9,0.0,0.04591704159975052
1603:0,A,ZMFCC10,0.0,0.04591704159975052
1603:0,A,ZMFCC11,0.0,0.04591704159975052
1603:0,A,ZMFCC12,0.0,0.04591704159975052
1603:0,A,XYCOS,-0.030384089797735214,0.04591704159975052
1603:0,A,XZCOS,0.0001534177572466433,0.04591704159975052
1603:0,A,YZCOS,0.000639788806438446,0.04591704159975052
1603:0,A,XYCOR,-0.5319768786430359,0.04591704159975052
1603:0,A,XZCOR,-0.0419781394302845,0.04591704159975052
1603:0,A,YZCOR,-0.029952509328722954,0.04591704159975052
